"id","name","description","aliss_url","permalink","url","twitter","facebook","phone","email","last_edited","service_names","service_ids"
"345612e6-7f4e-4887-a397-e02ac9b8cc80","","","www.aliss.org/organisations/-10/","www.aliss.org/organisations/345612e6-7f4e-4887-a397-e02ac9b8cc80/","","","","","","2019-01-11 09:49:42.259658+00:00","",""
"cade12a4-1cc6-4b76-8040-7fdc6b56f333","Unpublished org","","www.aliss.org/organisations/unpublished-org-0/","www.aliss.org/organisations/cade12a4-1cc6-4b76-8040-7fdc6b56f333/","","","","","","2019-01-11 09:51:10.713227+00:00","",""
"e427915a-aa2d-41e7-a39c-23b679e14fe8","Check","hdhd","www.aliss.org/organisations/check-0/","www.aliss.org/organisations/e427915a-aa2d-41e7-a39c-23b679e14fe8/","","","","","","2018-11-30 12:43:21.920121+00:00","",""
"432bd8ad-7fe7-43d1-9bf6-85fb237962d2","Carers of East Lothian","Carers of East Lothian offers information, advice and support to carers. They provide information on all aspects of caring including coping strategies and claiming welfare benefits, a one-to-one listening ear and a free newsletter. They also arrange social events, training courses, recreational opportunities and support groups for carers.","www.aliss.org/organisations/carers-of-east-lothian-0/","www.aliss.org/organisations/432bd8ad-7fe7-43d1-9bf6-85fb237962d2/","https://www.coel.org.uk/","","","0131 665 0135","centre@coel.org.uk","2018-11-30 12:43:21.433519+00:00","""Respite and Short Breaks from Caring"" ""Support with Money and Benefits"" ""Carer Support Groups"" ""Made Up Service with Quotes"" ""Carer Support Test"" ","""7550b0ac-ba7b-4d34-842d-5c7c34452ebc"" ""711fb5e9-a178-43b2-9f19-0d8ca7c41bc7"" ""4c343954-680c-4ea1-b66f-4a11095883a8"" ""477e9275-9180-4f25-a76c-32eaa540dc62"" ""ac05ae69-1ee3-419e-8fb0-108340acf406"" "
"6d46714a-eba0-4663-803c-7f14ddf7bbe1","Visualise Scotland","Visualise Scotland provides a range of care services tailored to the individual needs of people with physical and sensory impairments, learning disabilities and complex communication support needs.","www.aliss.org/organisations/visualise-scotland-0/","www.aliss.org/organisations/6d46714a-eba0-4663-803c-7f14ddf7bbe1/","http://www.visualise.org.uk/","","","0131 475 2337","office@visualise.org.uk","2018-11-30 12:43:21.590449+00:00","""Visualise Day Services"" ","""0d76f476-de04-4b2c-8d6d-c78d70c463fc"" "
"6d46b68a-4f36-4d0b-b3e4-200af1a352e1","Scottish Men’s Shed Association","The Scottish Men’s Shed Association was launched in November 2015 with the aim of helping new and existing groups to set up and run a Men’s Shed in their local town or community. We are here to give a helping hand to anyone looking for assistance or more information on what it means to develop and run a Men’s Shed.","www.aliss.org/organisations/scottish-mens-shed-association-0/","www.aliss.org/organisations/6d46b68a-4f36-4d0b-b3e4-200af1a352e1/","https://scottishmsa.org.uk/","","","07397 382533","info@scottishmsa.org.uk","2018-11-30 12:43:21.704273+00:00","""Visualise Musselburgh Day Men's Shed"" ","""f49af4f9-2cb2-4bac-946d-af5634bdaed9"" "
"b3618189-b4b0-4715-b347-a7057b219da8","Capability Scotland","Capability Scotland provides care, education and employment services for disabled people across Scotland.","www.aliss.org/organisations/capability-scotland-0/","www.aliss.org/organisations/b3618189-b4b0-4715-b347-a7057b219da8/","http://www.capability-scotland.org.uk/","","","0131 337 9876","","2018-11-30 12:43:21.733347+00:00","""Capability Scotland Edinburgh"" ""New Testing Service"" ","""5649aff8-7093-4c2f-91f0-e9dfb6f5959a"" ""646297c4-cdbd-4378-83c2-180cc89e38fc"" "
"68c934d7-699b-43ad-9301-e744c27f28e7","Ninth Testing Org","Ninth Testing Org","www.aliss.org/organisations/ninth-testing-org-0/","www.aliss.org/organisations/68c934d7-699b-43ad-9301-e744c27f28e7/","","","","","","2019-01-11 14:26:41.256364+00:00","",""
"ab794b38-7de5-49b5-9871-2cb305baa440","Glasgow Service","Test","www.aliss.org/organisations/glasgow-service-0/","www.aliss.org/organisations/ab794b38-7de5-49b5-9871-2cb305baa440/","http://www.capability-scotland.org.uk/","","","0123 456 789","aliss@test.co.uk","2018-11-30 12:43:21.369528+00:00","""Food Parcels"" ","""c434a67a-0ace-49a7-b286-3f777d788b89"" "
"079df55d-45f9-4845-875b-cd0dcacc7c1b","Testing Organisation","Test org","www.aliss.org/organisations/testing-organisation-0/","www.aliss.org/organisations/079df55d-45f9-4845-875b-cd0dcacc7c1b/","","","","","","2018-11-30 12:43:21.856417+00:00","""New Service"" ""Test Service"" ","""513ed0b6-e041-4cf5-929f-f5a0ffd24d52"" ""351a789e-40ea-4196-a44e-16a8bf204803"" "
