"service_id","location_id","service_name","service_permalink","formatted_address","organisation_id"
"0d76f476-de04-4b2c-8d6d-c78d70c463fc","e2306281-3cc5-4534-b00e-06104b910453","Visualise Day Services","www.aliss.org/services/0d76f476-de04-4b2c-8d6d-c78d70c463fc","Norton Park, Edinburgh, EH7 5QY","6d46714a-eba0-4663-803c-7f14ddf7bbe1"
"ac05ae69-1ee3-419e-8fb0-108340acf406","62f05853-418b-4f55-88d0-6236153c309a","Carer Support Test","www.aliss.org/services/ac05ae69-1ee3-419e-8fb0-108340acf406","94 High Street, Musselburgh, EH21 7EA","432bd8ad-7fe7-43d1-9bf6-85fb237962d2"
"4c343954-680c-4ea1-b66f-4a11095883a8","62f05853-418b-4f55-88d0-6236153c309a","Carer Support Groups","www.aliss.org/services/4c343954-680c-4ea1-b66f-4a11095883a8","94 High Street, Musselburgh, EH21 7EA","432bd8ad-7fe7-43d1-9bf6-85fb237962d2"
"711fb5e9-a178-43b2-9f19-0d8ca7c41bc7","62f05853-418b-4f55-88d0-6236153c309a","Support with Money and Benefits","www.aliss.org/services/711fb5e9-a178-43b2-9f19-0d8ca7c41bc7","94 High Street, Musselburgh, EH21 7EA","432bd8ad-7fe7-43d1-9bf6-85fb237962d2"
"7550b0ac-ba7b-4d34-842d-5c7c34452ebc","62f05853-418b-4f55-88d0-6236153c309a","Respite and Short Breaks from Caring","www.aliss.org/services/7550b0ac-ba7b-4d34-842d-5c7c34452ebc","94 High Street, Musselburgh, EH21 7EA","432bd8ad-7fe7-43d1-9bf6-85fb237962d2"
"477e9275-9180-4f25-a76c-32eaa540dc62","62f05853-418b-4f55-88d0-6236153c309a","Made Up Service with Quotes","www.aliss.org/services/477e9275-9180-4f25-a76c-32eaa540dc62","94 High Street, Musselburgh, EH21 7EA","432bd8ad-7fe7-43d1-9bf6-85fb237962d2"
"f49af4f9-2cb2-4bac-946d-af5634bdaed9","c3ccad49-1f5a-4d2a-8124-54d1e74cbd0f","Visualise Musselburgh Day Men's Shed","www.aliss.org/services/f49af4f9-2cb2-4bac-946d-af5634bdaed9","Our Lady of Loretto & St. Michael's, 17 Newbigging, Musselburgh, EH21 7AJ","6d46b68a-4f36-4d0b-b3e4-200af1a352e1"
"5649aff8-7093-4c2f-91f0-e9dfb6f5959a","b4fc6cf5-230f-464b-9886-844a04305a1d","Capability Scotland Edinburgh","www.aliss.org/services/5649aff8-7093-4c2f-91f0-e9dfb6f5959a","Units 9-15 SPACE, 11 Harewood Road, Edinburgh, EH16 4NT","b3618189-b4b0-4715-b347-a7057b219da8"
"646297c4-cdbd-4378-83c2-180cc89e38fc","b4fc6cf5-230f-464b-9886-844a04305a1d","New Testing Service","www.aliss.org/services/646297c4-cdbd-4378-83c2-180cc89e38fc","Units 9-15 SPACE, 11 Harewood Road, Edinburgh, EH16 4NT","b3618189-b4b0-4715-b347-a7057b219da8"
"2abf9aa2-26cd-4e64-99a5-d31f06c86299","274f6fb4-c320-49c9-89f4-03c9b4a0851c","Come to our Family Stay and Play group Test 5","www.aliss.org/services/2abf9aa2-26cd-4e64-99a5-d31f06c86299","Goodtrees Neighbourhood Centre, 5 Moredunvale Place, Edinburgh, EH17 7LB","bc9a565e-79a0-4a46-b4c8-c5384acc0c80"
"c434a67a-0ace-49a7-b286-3f777d788b89","2c1a425d-bbc4-4121-b2cc-d346501f1e8f","Food Parcels","www.aliss.org/services/c434a67a-0ace-49a7-b286-3f777d788b89","Renfield St Stephens Centre, Renfield St Stephens Centre, 260 Bath Street, Glasgow, G2 4AA","ab794b38-7de5-49b5-9871-2cb305baa440"
"351a789e-40ea-4196-a44e-16a8bf204803","8c088c23-1533-4224-b0a9-3dd20468b423","Test Service","www.aliss.org/services/351a789e-40ea-4196-a44e-16a8bf204803","House, 28 Clayknowes Drive, Musselburgh, EH21 6UW","079df55d-45f9-4845-875b-cd0dcacc7c1b"
"513ed0b6-e041-4cf5-929f-f5a0ffd24d52","8c088c23-1533-4224-b0a9-3dd20468b423","New Service","www.aliss.org/services/513ed0b6-e041-4cf5-929f-f5a0ffd24d52","House, 28 Clayknowes Drive, Musselburgh, EH21 6UW","079df55d-45f9-4845-875b-cd0dcacc7c1b"
"0d76f476-de04-4b2c-8d6d-c78d70c463fc","8c7f1a07-26e5-452b-bbe8-7bdd45160bf3","Visualise Day Services","www.aliss.org/services/0d76f476-de04-4b2c-8d6d-c78d70c463fc","Newhailes Business Park, Newhailes Road, Musselburgh, EH11 6RH","6d46714a-eba0-4663-803c-7f14ddf7bbe1"
"927ab553-3522-4872-9ea0-7d9635f20ff3","4767221e-2240-4b57-8633-6d616f996931","New testing service","www.aliss.org/services/927ab553-3522-4872-9ea0-7d9635f20ff3","Location for a test, Test Street, Musselburgh, EH21 6PL","b3dc8a70-3224-41cf-8d9b-cbaa71138e5a"
"56ecaebc-5861-4486-aaa4-830cd2416ca5","4ff1414e-ce69-460a-8ece-ce1e4cfdb2dc","Musselburgh Service","www.aliss.org/services/56ecaebc-5861-4486-aaa4-830cd2416ca5","Musselburgh Centre, Hight Street, Musselburgh, EH21 6AS","18333f24-5cbc-4c68-835a-ca314aad57f6"
"77de8aa0-c2ac-47a3-9d1a-f6397da5c3d4","d79e403b-272a-47ee-a3af-31c63020c3cf","Service Test Service","www.aliss.org/services/77de8aa0-c2ac-47a3-9d1a-f6397da5c3d4","Edinburgh Locations, Street, Edinburgh, EH1 1TE","efaf10de-8714-4755-a071-736e5c697ef2"
